Body,Affiliation 1,Activity 1,Affiliation 2,Activity 2,Affiliation 3,Activity 3,Affiliation 4,Activity 4,Affiliation 5,Activity 5,Affiliation 6,Activity 6,Affiliation 7,Activity 7,Affiliation 8,Activity 8,Affiliation 9,Activity 9,Affiliation 10,Activity 10,Affiliation 11,Activity 11,Affiliation 12,Activity 12,Affiliation 13,Activity 13,Affiliation 14,Activity 14,Affiliation 15,Activity 15,Affiliation 16,Activity 16,Affiliation 17,Activity 17,Affiliation 18,Activity 18,Affiliation 19,Activity 19,Affiliation 20,Activity 20,Affiliation 21,Activity 21,Affiliation 22,Activity 22,Affiliation 23,Activity 23,Affiliation 24,Activity 24,Affiliation 25,Activity 25,Affiliation 26,Activity 26,Affiliation 27,Activity 27,Affiliation 28,Activity 28,Affiliation 29,Activity 29,Affiliation 30,Activity 30,Affiliation 30,Activity 30,Affiliation 31,Activity 31,Affiliation 32,Activity 32,Affiliation 33,Activity 33,Affiliation 34,Activity 34,Affiliation 35,Activity 35,Affiliation 36,Activity 36,Affiliation 37,Activity 37,Affiliation 38,Activity 38,Affiliation 39,Activity 39,Affiliation 39,Activity 39,Affiliation 40,Activity 40,Affiliation 41,Activity 41,Affiliation 42,Activity 42,Affiliation 43,Activity 43,Affiliation 44,Activity 44,Affiliation 45,Activity 45
University of Salamanca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PERISCOPE,Vaccine development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Université Libre de Bruxelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PERISCOPE,Vaccine development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Southampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PERISCOPE,Vaccine development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q-Biologicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PERISCOPE,Vaccine development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanofi Pasteur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PERISCOPE,Vaccine development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PERISCOPE,Vaccine development,,,,,,,,,,,,,,,,,DiViNe,Vaccine Development,,,,,,,,,,,,,,,,,PULSE,Training,,,,,,
EFPIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PERISCOPE,Vaccine development,,,,,,,,,,,,,,,,,,,,,,,,,,,EBOVAC,Clinical Trials,,,,,,,,,,,,,,
Technical University of Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPARE,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANSES France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPARE,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Molecular Biology Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPARE,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Institute for Public Health of Holland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPARE,Information Sharing,,,,,CONSISE,Information Sharing,,,,,,,,,,,,,,,,,CDPRG,Clinical Trials,,,,,,,,,,,,,,,,
Animal & Plant Health Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPARE,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Veterinary Medicine of Hannover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPARE,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unversidad de Castilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPARE,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IFREMER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPARE,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wigner Research Centre for Physics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPARE,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Civic Consulting ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPARE,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Responsible Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPARE,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Bologna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPARE,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leibniz Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPARE,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanger Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPARE,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University della Svizzera italiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZIKAlliance,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Heidelberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZIKAlliance,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Leuven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZIKAlliance,Epidemiology,ZikaPLAN,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Lyon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZIKAlliance,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Rennes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZIKAlliance,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institut Louis Malarde Papeete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZIKAlliance,Epidemiology,,,,,,,,,,,RECOLZIKA,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundação Bahiana de Infectologia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZIKAlliance,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Umea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZikaPLAN,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen Mary University of London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZikaPLAN,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundacion Universidad del Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZikaPLAN,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad del Valle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZikaPLAN,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GDDP,Laboratory Methods,,,,
University of Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZikaPLAN,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of North Carolina at Chapel Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZikaPLAN,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Jolla Institute for Allergy and Immunology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZikaPLAN,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prins Leopold Instituut voor Tropische Geneeskunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZikaPLAN,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Associacao Technica-Cientifica Estudo Collaborativo Latino Americano de Malformacoes Congenitas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZikaPLAN,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instituto de Medicina Tropical Pedro Kouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZikaPLAN,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Vaccine Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZikaPLAN,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundacao Universidade de Pernambuco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZikaPLAN,Epidemiology,,,MERG,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Centres for Disease Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONSISE,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIBSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONSISE,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Food and Drug Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONSISE,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centre for Reference and Research on Influenza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONSISE,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Health, Brazil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MERG,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Figueira Integral Medicine Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MERG,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDDO,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drugs for Neglected Diseases initiative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDDO,Information Sharing,,,,,,,,,,,,,,,,,,,FACT,Drug Development,AfriCoLeish,Drug Development,,,,,,,,
European Vaccine Initiative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZIKAVAX,Vaccine development,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Themis Bioscience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZIKAVAX,Vaccine development,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colciencias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RECOLZIKA,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Zurich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RECOLZIKA,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Tokyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RECOLZIKA,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Alcala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RECOLZIKA,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Duisburg-Essen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RECOLZIKA,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Amsterdam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RECOLZIKA,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Leeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMDIS,Capacity Building,,,,,,,,,,,,,,,,,,,,,,
ARK Foundation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMDIS,Capacity Building,,,,,,,,,,,,,,,,,,,,,,
"Global Health Research and Development, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMDIS,Capacity Building,,,,,,,,,,,,,,,,,,,,,,
"Centre for Global Health Research, Ghana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMDIS,Capacity Building,,,,,,,,,,,,,,,,,,,,,,
Health Research and Social Development Forum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMDIS,Capacity Building,,,,,,,,,,,,,,,,,,,,,,
ICIPE Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARCTEC,Laboratory Methods,,,,,,,,,,,,,,,,,,,,
Minsitry of Health of Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,SEAICRN,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APEIR,Clinical Trials,CDPRG,Clinical Trials,,,,,,,,,,,GDDP,Laboratory Methods,,,,
Ministry of Health of Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APEIR,Clinical Trials,CDPRG,Clinical Trials,,,,,,,,,,,,,,,,
China CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APEIR,Clinical Trials,,,,,,,,,,,,,GDDP,Laboratory Methods,,,,
Chinese Academy of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APEIR,Clinical Trials,,,,,,,,,,,,,,,,,,
University of Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APEIR,Clinical Trials,CDPRG,Clinical Trials,,,,,,,,,,,,,,,,
Minsitry of Health of Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APEIR,Clinical Trials,,,,,,,,,,,,,,,,,,
Hanoi Medical University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APEIR,Clinical Trials,,,,,,,,,,,,,,,,,,
Ministry of Science and Technology Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,SEAICRN,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APEIR,Clinical Trials,CDPRG,Clinical Trials,,,,,,,,,,,,,,,,
University of Hamburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CDPRG,Clinical Trials,,,,,,,,,,,,,,,,
Taiwan CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CDPRG,Clinical Trials,,,,,,,,,,,,,,,,
University of Health Sciences of Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CDPRG,Clinical Trials,,,,,,,,,,,,,,,,
University of Herffordshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CDPRG,Clinical Trials,,,,,,,,,,,,,,,,
Technische University Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CDPRG,Clinical Trials,,,,,,,,,,,,,,,,
University of Toulouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CDPRG,Clinical Trials,,,,,,,,,,,,,,,,
University of Lisbon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CDPRG,Clinical Trials,,,,,,,,,,,,,,,,
Princeton University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VMI,Vaccine modelling,,,,,,,,,,,Team B,Information Sharing
MSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VMI,Vaccine modelling,FACT,Drug Development,AfriCoLeish,Drug Development,,,,,,,Team B,Information Sharing
PATH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VMI,Vaccine modelling,,,,,,,,,,,Team B,Information Sharing
Pennsylvania State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VMI,Vaccine modelling,,,,,,,,,,,,
Prince of Songkla University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VMI,Vaccine modelling,,,,,,,,,,,,
University Sains Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FACT,Drug Development,,,,,,,,,,
Cipla Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FACT,Drug Development,,,,,,,,,,
Shoklo Malaria Resaerch Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FACT,Drug Development,,,,,,,,,,
University of Gondar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AfriCoLeish,Drug Development,,,,,,,,
Save The Children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PULSE,Training,,,,,,
"International Centre for Diarrheal Disease Research, Bangladesh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GDDP,Laboratory Methods,,,Team B,Information Sharing
NAMRU-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GDDP,Laboratory Methods,,,,
Global Disease Detection Regional Center of Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GDDP,Laboratory Methods,,,,
India Global Disease Detection Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GDDP,Laboratory Methods,,,,
Global Disease Detection Regional Center of Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GDDP,Laboratory Methods,,,,
South African Global Disease Detection Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GDDP,Laboratory Methods,,,,
University of Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ICEMR,Clinical Trials,,
Tropical Diseases Research Centre of Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ICEMR,Clinical Trials,,
Caucaseco Scientific Research Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ICEMR,Clinical Trials,,
Universidad Peruana Cayetano Heredia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ICEMR,Clinical Trials,,
Papua New Guinea Institute for Medical Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ICEMR,Clinical Trials,,
Indian National Institute of Malaria Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ICEMR,Clinical Trials,,
CIDRAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Team B,Information Sharing
Sabin Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Team B,Information Sharing
Biologics Consulting Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Team B,Information Sharing
University of Health and Allied Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Team B,Information Sharing
Weill Cornell Medical College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Team B,Information Sharing
International AIDS Vaccine Initiative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Team B,Information Sharing
Redeemer's University Mowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Team B,Information Sharing
Arizona State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Team B,Information Sharing
Ministry of Health of Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Team B,Information Sharing
University of Toronto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Team B,Information Sharing
University of Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Team B,Information Sharing
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
